Baader SLOAN/SDSS i' Filter,,,,
λ (nm),OD,,,
487,5.259560884,,,
488,5.297495491,,,
489,5.313583676,,,
490,5.294280202,,,
491,5.245613111,,,
492,5.168629813,,,
493,5.073642506,,,
494,4.987857879,,,
495,4.936409045,,,
496,4.929043764,,,
497,4.967782586,,,
498,5.030691893,,,
499,5.098451918,,,
500,5.156633187,,,
501,5.194681531,,,
502,5.213890780,,,
503,5.205627876,,,
504,5.193039057,,,
505,5.154818129,,,
506,5.102024056,,,
507,5.037528320,,,
508,4.966939826,,,
509,4.893209880,,,
510,4.826478056,,,
511,4.781263463,,,
512,4.772765915,,,
513,4.807899575,,,
514,4.886668057,,,
515,4.987187153,,,
516,5.091316851,,,
517,5.178577085,,,
518,5.232551748,,,
519,5.266400380,,,
520,5.296612868,,,
521,5.318525109,,,
522,5.336058396,,,
523,5.345378637,,,
524,5.357540033,,,
525,5.374784681,,,
526,5.423067617,,,
527,5.519986653,,,
528,5.678163196,,,
529,5.846076113,,,
530,5.994784083,,,
531,6.178617922,,,
532,6.314751177,,,
533,6.485972521,,,
534,6.625411839,,,
535,6.760254782,,,
536,6.903619004,,,
537,7.013590576,,,
538,6.975971835,,,
539,6.990028775,,,
540,6.920776971,,,
541,6.993660062,,,
542,7.024571656,,,
543,7.050897387,,,
544,6.988603372,,,
545,7.003686160,,,
546,7.004774634,,,
547,6.986570419,,,
548,7.015411425,,,
549,6.996894366,,,
550,7.004531096,,,
551,7.013333655,,,
552,7.091471934,,,
553,7.049200509,,,
554,7.057768001,,,
555,6.933993929,,,
556,7.118102316,,,
557,7.025244247,,,
558,7.129510413,,,
559,7.064254213,,,
560,7.076797341,,,
561,7.090243284,,,
562,7.105644096,,,
563,7.205168959,,,
564,7.170556979,,,
565,7.278771673,,,
566,7.139853744,,,
567,7.092413323,,,
568,7.088568059,,,
569,7.094320012,,,
570,7.161849526,,,
571,7.019574260,,,
572,7.064550943,,,
573,6.904053542,,,
574,6.963893345,,,
575,6.936193545,,,
576,6.889300687,,,
577,6.779278187,,,
578,6.792792532,,,
579,6.674702756,,,
580,6.549399633,,,
581,6.550903319,,,
582,6.416495773,,,
583,6.375565335,,,
584,6.263893782,,,
585,6.197615369,,,
586,6.064257813,,,
587,5.953480804,,,
588,5.806713279,,,
589,5.658750420,,,
590,5.497332070,,,
591,5.326799512,,,
592,5.176667938,,,
593,5.041741998,,,
594,4.936101091,,,
595,4.873360376,,,
596,4.846922454,,,
597,4.862835571,,,
598,4.897145225,,,
599,4.942681406,,,
600,4.983691466,,,
601,5.018948291,,,
602,5.043490845,,,
603,5.051986044,,,
604,5.055228835,,,
605,5.046113098,,,
606,5.024579009,,,
607,4.993388514,,,
608,4.953072655,,,
609,4.901133830,,,
610,4.843065104,,,
611,4.780382132,,,
612,4.714418114,,,
613,4.654086168,,,
614,4.607740454,,,
615,4.572742616,,,
616,4.560652123,,,
617,4.566409987,,,
618,4.586973154,,,
619,4.616581213,,,
620,4.648018973,,,
621,4.682122117,,,
622,4.706725024,,,
623,4.727842685,,,
624,4.736488816,,,
625,4.740660353,,,
626,4.733240888,,,
627,4.722742144,,,
628,4.702093675,,,
629,4.678959032,,,
630,4.655665597,,,
631,4.629265959,,,
632,4.611077196,,,
633,4.604408738,,,
634,4.605249592,,,
635,4.617852162,,,
636,4.643313276,,,
637,4.678610866,,,
638,4.721519041,,,
639,4.764025177,,,
640,4.811635256,,,
641,4.852850347,,,
642,4.893156904,,,
643,4.926873374,,,
644,4.955544323,,,
645,4.978068862,,,
646,4.995830726,,,
647,5.008689990,,,
648,5.014677989,,,
649,5.015621395,,,
650,5.011413522,,,
651,4.997357001,,,
652,4.985094056,,,
653,4.966134988,,,
654,4.940760682,,,
655,4.909386519,,,
656,4.875294153,,,
657,4.832974381,,,
658,4.788138959,,,
659,4.738515579,,,
660,4.684195738,,,
661,4.625008976,,,
662,4.560826625,,,
663,4.491781913,,,
664,4.416513382,,,
665,4.337811073,,,
666,4.253300995,,,
667,4.164421926,,,
668,4.069261303,,,
669,3.970143007,,,
670,3.864468365,,,
671,3.754202186,,,
672,3.636897811,,,
673,3.514123632,,,
674,3.384133644,,,
675,3.248282964,,,
676,3.104999641,,,
677,2.954012739,,,
678,2.794642179,,,
679,2.627550459,,,
680,2.449993680,,,
681,2.262989637,,,
682,2.067982349,,,
683,1.860573442,,,
684,1.645624538,,,
685,1.422475799,,,
686,1.198516968,,,
687,0.983199474,,,
688,0.785826988,,,
689,0.620348566,,,
690,0.494641276,,,
691,0.402693660,,,
692,0.338103354,,,
693,0.289887130,,,
694,0.248332350,,,
695,0.208670137,,,
696,0.170642480,,,
697,0.134194702,,,
698,0.100731309,,,
699,0.072356590,,,
700,0.049788228,,,
701,0.033011399,,,
702,0.021330803,,,
703,0.013753296,,,
704,0.008992698,,,
705,0.006561314,,,
706,0.005188549,,,
707,0.004539715,,,
708,0.003841536,,,
709,0.003613781,,,
710,0.003718336,,,
711,0.003722514,,,
712,0.003471641,,,
713,0.003889107,,,
714,0.004496659,,,
715,0.004803233,,,
716,0.005699781,,,
717,0.006521622,,,
718,0.007155169,,,
719,0.007021530,,,
720,0.007345629,,,
721,0.007620297,,,
722,0.007632774,,,
723,0.007181006,,,
724,0.007434334,,,
725,0.007344685,,,
726,0.006977924,,,
727,0.006756797,,,
728,0.007023011,,,
729,0.006952200,,,
730,0.007057259,,,
731,0.006871167,,,
732,0.007295689,,,
733,0.007334340,,,
734,0.007428503,,,
735,0.007088546,,,
736,0.007382700,,,
737,0.007210415,,,
738,0.007301047,,,
739,0.007069518,,,
740,0.006910083,,,
741,0.007051130,,,
742,0.006643130,,,
743,0.006588562,,,
744,0.006508404,,,
745,0.006052562,,,
746,0.005854305,,,
747,0.006024037,,,
748,0.005602266,,,
749,0.005665606,,,
750,0.005211586,,,
751,0.005049211,,,
752,0.004526925,,,
753,0.004484975,,,
754,0.004200672,,,
755,0.004443464,,,
756,0.003690934,,,
757,0.003434101,,,
758,0.003494520,,,
759,0.003129927,,,
760,0.003676598,,,
761,0.003553311,,,
762,0.003553412,,,
763,0.003437775,,,
764,0.004021418,,,
765,0.004137746,,,
766,0.004886729,,,
767,0.005069257,,,
768,0.005710658,,,
769,0.006425940,,,
770,0.006303922,,,
771,0.007245250,,,
772,0.007548815,,,
773,0.008046093,,,
774,0.008086937,,,
775,0.008542994,,,
776,0.008038566,,,
777,0.008351434,,,
778,0.008957282,,,
779,0.008453724,,,
780,0.008951836,,,
781,0.008875604,,,
782,0.008713543,,,
783,0.008599465,,,
784,0.008733760,,,
785,0.008838135,,,
786,0.008457846,,,
787,0.008420041,,,
788,0.008867217,,,
789,0.008523598,,,
790,0.008352346,,,
791,0.008006097,,,
792,0.007975925,,,
793,0.008257070,,,
794,0.008212766,,,
795,0.008245488,,,
796,0.007715096,,,
797,0.007161064,,,
798,0.007383643,,,
799,0.007508258,,,
800,0.006192222,,,
801,0.005773712,,,
802,0.005731071,,,
803,0.005576556,,,
804,0.004903886,,,
805,0.004569481,,,
806,0.004462846,,,
807,0.004086870,,,
808,0.003818705,,,
809,0.003374224,,,
810,0.003866006,,,
811,0.003271388,,,
812,0.003925784,,,
813,0.003974200,,,
814,0.004289775,,,
815,0.004828528,,,
816,0.005815753,,,
817,0.007009373,,,
818,0.007478761,,,
819,0.007953618,,,
820,0.008464671,,,
821,0.008746032,,,
822,0.009373659,,,
823,0.009499997,,,
824,0.009649714,,,
825,0.009165116,,,
826,0.008342382,,,
827,0.008267809,,,
828,0.008859878,,,
829,0.010044375,,,
830,0.013860527,,,
831,0.021226305,,,
832,0.034809162,,,
833,0.055820761,,,
834,0.088014586,,,
835,0.131826500,,,
836,0.190025820,,,
837,0.261720223,,,
838,0.346762416,,,
839,0.444159320,,,
840,0.549455535,,,
841,0.659988098,,,
842,0.775099287,,,
843,0.889216775,,,
844,1.003390971,,,
845,1.115038318,,,
846,1.221484738,,,
847,1.328778231,,,
848,1.433776708,,,
849,1.530405693,,,
850,1.624789862,,,
851,1.719203311,,,
852,1.806913717,,,
853,1.880483525,,,
854,1.955263647,,,
855,2.060304161,,,
856,2.162231098,,,
857,2.260475733,,,
858,2.356816918,,,
859,2.450016953,,,
860,2.540200108,,,
861,2.627736011,,,
862,2.711576838,,,
863,2.793870955,,,
864,2.874519236,,,
865,2.951680205,,,
866,3.026937294,,,
867,3.101837028,,,
868,3.171242028,,,
869,3.239750019,,,
870,3.308330471,,,
871,3.373003066,,,
872,3.436018224,,,
873,3.497790050,,,
874,3.556496433,,,
875,3.614137611,,,
876,3.670631712,,,
877,3.726024895,,,
878,3.778887563,,,
879,3.829653901,,,
880,3.879905569,,,
881,3.928101387,,,
882,3.975599917,,,
883,4.021480931,,,
884,4.066259397,,,
885,4.108175138,,,
886,4.150362657,,,
887,4.189533359,,,
888,4.228797631,,,
889,4.267884502,,,
890,4.304252968,,,
891,4.339462376,,,
892,4.374457245,,,
893,4.407160879,,,
894,4.439140002,,,
895,4.471692867,,,
896,4.503586075,,,
897,4.532919678,,,
898,4.562046269,,,
899,4.587755449,,,
900,4.614313112,,,
901,4.641023984,,,
902,4.666591322,,,
903,4.690222558,,,
904,4.712366217,,,
905,4.736555214,,,
906,4.758566535,,,
907,4.777393402,,,
908,4.798342879,,,
909,4.817746070,,,
910,4.834771512,,,
911,4.856597821,,,
912,4.875470340,,,
913,4.890261825,,,
914,4.904851748,,,
915,4.918278407,,,
916,4.933821948,,,
917,4.949458583,,,
918,4.966587965,,,
919,4.977779152,,,
920,4.990215069,,,
921,5.008735177,,,
922,5.021240854,,,
923,5.037326814,,,
924,5.050589957,,,
925,5.072605563,,,
926,5.095568631,,,
927,5.110368377,,,
928,5.143060240,,,
929,5.169562938,,,
930,5.202702947,,,
931,5.229512240,,,
932,5.263802795,,,
933,5.296887713,,,
934,5.342478963,,,
935,5.378848382,,,
936,5.422183674,,,
937,5.462456857,,,
938,5.503335940,,,
939,5.555855838,,,
940,5.588323934,,,
941,5.639318051,,,
942,5.664471951,,,
943,5.706783523,,,
944,5.728192669,,,
945,5.805193152,,,
946,5.823947779,,,
947,5.836657134,,,
948,5.870970696,,,
949,5.894774686,,,
950,5.913782138,,,
951,5.970031296,,,
952,5.991340328,,,
953,6.036403517,,,
954,6.040908495,,,
955,6.074264038,,,
956,6.064724099,,,
957,6.086236947,,,
958,6.108578833,,,
959,6.142388891,,,
960,6.108606546,,,
961,6.161114768,,,
962,6.132482731,,,
963,6.213152240,,,
964,6.154775074,,,
965,6.169223232,,,
