Baader SLOAN/SDSS u' Filter,,,,
λ (nm),OD,,,
487,8.068359962,,,
488,8.392228574,,,
489,8.106840365,,,
490,7.750626551,,,
491,8.213512260,,,
492,8.462009933,,,
493,8.421653255,,,
494,7.856878555,,,
495,7.942357599,,,
496,8.457341041,,,
497,8.377940161,,,
498,8.094017055,,,
499,8.576387640,,,
500,7.986076517,,,
501,7.692937665,,,
502,7.671798969,,,
503,7.890863881,,,
504,8.773498062,,,
505,7.917737021,,,
506,7.986075896,,,
507,8.116603983,,,
508,8.732196472,,,
509,8.328568905,,,
510,8.794673588,,,
511,8.163639130,,,
512,8.596504857,,,
513,8.008268651,,,
514,8.456394558,,,
515,9.856779443,,,
516,9.199627641,,,
517,8.205367736,,,
518,7.855536969,,,
519,8.008109510,,,
520,8.772565992,,,
521,8.521765221,,,
522,8.754032477,,,
523,8.043077317,,,
524,7.841330984,,,
525,8.343624216,,,
526,8.312805205,,,
527,7.801230680,,,
528,8.310810753,,,
529,7.982036526,,,
530,8.080394152,,,
531,8.027177080,,,
532,7.582205625,,,
533,7.543259856,,,
534,8.143645754,,,
535,8.675718803,,,
536,8.640792393,,,
537,8.138023498,,,
538,9.391690108,,,
539,7.982736980,,,
540,7.743162555,,,
541,8.363036904,,,
542,8.910454327,,,
543,8.225254097,,,
544,8.769972138,,,
545,8.636693825,,,
546,8.106833325,,,
547,8.363557093,,,
548,8.214398877,,,
549,8.400623864,,,
550,8.186431833,,,
551,8.070622932,,,
552,7.812360679,,,
553,7.898983111,,,
554,7.858161253,,,
555,8.249350819,,,
556,8.811298669,,,
557,8.131425268,,,
558,8.521076759,,,
559,7.693083572,,,
560,8.106177035,,,
561,8.042205377,,,
562,8.062939713,,,
563,8.000833387,,,
564,8.071127435,,,
565,9.144433716,,,
566,7.977198789,,,
567,7.705033491,,,
568,7.884260243,,,
569,8.586121358,,,
570,8.418538524,,,
571,7.865609380,,,
572,8.914429740,,,
573,8.435251023,,,
574,9.261981682,,,
575,8.491346061,,,
576,7.640355090,,,
577,7.500987108,,,
