Baader SLOAN/SDSS z-s' Filter,,,,
λ (nm),OD,,,
487,5.145475214,,,
488,5.298754292,,,
489,5.422159416,,,
490,5.509459594,,,
491,5.564722500,,,
492,5.577826080,,,
493,5.554486141,,,
494,5.503073808,,,
495,5.397938566,,,
496,5.243323354,,,
497,5.052747182,,,
498,4.835043476,,,
499,4.608029823,,,
500,4.408063925,,,
501,4.269902666,,,
502,4.219076958,,,
503,4.239515124,,,
504,4.291450949,,,
505,4.318723647,,,
506,4.300852359,,,
507,4.230190969,,,
508,4.128024369,,,
509,4.035583363,,,
510,4.007520845,,,
511,4.073319925,,,
512,4.224597666,,,
513,4.424066118,,,
514,4.613022471,,,
515,4.764913445,,,
516,4.867596388,,,
517,4.925998891,,,
518,4.949932060,,,
519,4.943617077,,,
520,4.924065957,,,
521,4.883766947,,,
522,4.825872042,,,
523,4.750139188,,,
524,4.659027138,,,
525,4.565728268,,,
526,4.486542465,,,
527,4.451611823,,,
528,4.469964391,,,
529,4.545862321,,,
530,4.654556546,,,
531,4.771357564,,,
532,4.882121898,,,
533,4.977307879,,,
534,5.058757862,,,
535,5.122604796,,,
536,5.170914871,,,
537,5.194919971,,,
538,5.199237058,,,
539,5.179101627,,,
540,5.146112398,,,
541,5.093293975,,,
542,5.035644246,,,
543,4.962912920,,,
544,4.882460684,,,
545,4.799858732,,,
546,4.702929828,,,
547,4.610220584,,,
548,4.524207867,,,
549,4.449905965,,,
550,4.398291006,,,
551,4.372725381,,,
552,4.368763146,,,
553,4.380014740,,,
554,4.401015253,,,
555,4.425397900,,,
556,4.447889709,,,
557,4.459979188,,,
558,4.462836907,,,
559,4.458766324,,,
560,4.447596985,,,
561,4.430358408,,,
562,4.406377380,,,
563,4.382302038,,,
564,4.357315944,,,
565,4.339339282,,,
566,4.324936187,,,
567,4.321454657,,,
568,4.326647701,,,
569,4.341381152,,,
570,4.362647850,,,
571,4.388023312,,,
572,4.416641468,,,
573,4.447930777,,,
574,4.482176474,,,
575,4.513620190,,,
576,4.552129044,,,
577,4.584210936,,,
578,4.610571127,,,
579,4.637694501,,,
580,4.654886630,,,
581,4.663645079,,,
582,4.664393284,,,
583,4.656796573,,,
584,4.640612008,,,
585,4.616086196,,,
586,4.594729905,,,
587,4.574431767,,,
588,4.551024350,,,
589,4.528412117,,,
590,4.505036833,,,
591,4.481558536,,,
592,4.458062786,,,
593,4.428368057,,,
594,4.396613893,,,
595,4.363040692,,,
596,4.332128210,,,
597,4.310873109,,,
598,4.301185025,,,
599,4.302716673,,,
600,4.312440948,,,
601,4.333174729,,,
602,4.367330572,,,
603,4.410043245,,,
604,4.462247594,,,
605,4.514138781,,,
606,4.557140475,,,
607,4.588567347,,,
608,4.600874788,,,
609,4.597882305,,,
610,4.579219988,,,
611,4.551410326,,,
612,4.521558779,,,
613,4.502973023,,,
614,4.489089812,,,
615,4.483569252,,,
616,4.490174579,,,
617,4.506188917,,,
618,4.526000192,,,
619,4.541059432,,,
620,4.540253319,,,
621,4.513886341,,,
622,4.467863333,,,
623,4.405170717,,,
624,4.357299967,,,
625,4.346634912,,,
626,4.395725366,,,
627,4.518960188,,,
628,4.704083990,,,
629,4.926801988,,,
630,5.143338477,,,
631,5.344972924,,,
632,5.529547823,,,
633,5.689924769,,,
634,5.828769810,,,
635,5.964044796,,,
636,6.082144384,,,
637,6.179331203,,,
638,6.262360707,,,
639,6.359206139,,,
640,6.389485914,,,
641,6.481319092,,,
642,6.488759937,,,
643,6.569796886,,,
644,6.597120413,,,
645,6.580565977,,,
646,6.581842928,,,
647,6.657814948,,,
648,6.613685772,,,
649,6.659529962,,,
650,6.636537570,,,
651,6.655372066,,,
652,6.641580785,,,
653,6.630837859,,,
654,6.663714648,,,
655,6.647336628,,,
656,6.621570235,,,
657,6.632784448,,,
658,6.677214514,,,
659,6.620722643,,,
660,6.665346737,,,
661,6.691427971,,,
662,6.750829758,,,
663,6.716737516,,,
664,6.701764366,,,
665,6.763473059,,,
666,6.712324676,,,
667,6.709477189,,,
668,6.775043515,,,
669,6.717797183,,,
670,6.751166240,,,
671,6.724871828,,,
672,6.706289261,,,
673,6.764016728,,,
674,6.639064296,,,
675,6.633139113,,,
676,6.605312670,,,
