Wavelength (nm),Transmission
654.2399902,0.06964378059
654.2199707,0.01421234477
654.2000122,0
654.1799927,0
654.1599731,0
654.1400146,0.00002653874617
654.1199951,0.036881309
654.0999756,0
654.0800171,0.007157101762
654.0599976,0
654.039978,0
654.0200195,0.05584013462
654,0.02857221104
653.9799805,0.02995015867
653.960022,0
653.9400024,0
653.9199829,0.005578102544
653.9000244,0.01412554272
653.8800049,0.02791502886
653.8599854,0.00898369588
653.8400269,0.005835579243
653.8200073,0
653.7999878,0
653.7800293,0
653.7600098,0.02355149947
653.7399902,0.01351525169
653.7199707,0.008671565913
653.7000122,0
653.6799927,0
653.6599731,0
653.6400146,0.01334329601
653.6199951,0.05237695202
653.5999756,0.005927351769
653.5800171,0
653.5599976,0
653.539978,0
653.5200195,0
653.5,0.01361065358
653.4799805,0.01826741733
653.460022,0
653.4400024,0
653.4199829,0.005474982783
653.4000244,0
653.3800049,0.01569765992
653.3599854,0.03440707549
653.3400269,0.03327906132
653.3200073,0
653.2999878,0
653.2800293,0.005578218959
653.2600098,0.01293860655
653.2399902,0.01024881192
653.2199707,0
653.2000122,0
653.1799927,0
653.1599731,0
653.1400146,0.009666772559
653.1199951,0
653.0999756,0
653.0800171,0.002298920415
653.0599976,0
653.039978,0
653.0200195,0
653,0
652.9799805,0.01312189456
652.960022,0
652.9400024,0
652.9199829,0
652.9000244,0
652.8800049,0.006802501623
652.8599854,0
652.8400269,0.005188468844
652.8200073,0.02070224658
652.7999878,0.01126820315
652.7800293,0.01500592194
652.7600098,0
652.7399902,0
652.7199707,0
652.7000122,0
652.6799927,0.006821394432
652.6599731,0.005648285616
652.6400146,0
652.6199951,0
652.5999756,0.01327050384
652.5800171,0
652.5599976,0
652.539978,0
652.5200195,0
652.5,0.01629536971
652.4799805,0
652.460022,0
652.4400024,0.0113501763
652.4199829,0
652.4000244,0
652.3800049,0.01956158876
652.3599854,0
652.3400269,0
652.3200073,0.02141045779
652.2999878,0.00346090016
652.2800293,0
652.2600098,0
652.2399902,0.01839525066
652.2199707,0
652.2000122,0
652.1799927,0.004432453774
652.1599731,0
652.1400146,0
652.1199951,0
652.0999756,0
652.0800171,0
652.0599976,0.02886278182
652.039978,0.03894397989
652.0200195,0.0108541185
652,0
651.9799805,0
651.960022,0.0009779864922
651.9400024,0
651.9199829,0.02282628044
651.9000244,0
651.8800049,0
651.8599854,0
651.8400269,0
651.8200073,0.01263720728
651.7999878,0.0407762453
651.7800293,0.03056257032
651.7600098,0
651.7399902,0
651.7199707,0
651.7000122,0.004720770288
651.6799927,0.02597953938
651.6599731,0.007737971377
651.6400146,0.03326432034
651.6199951,0
651.5999756,0
651.5800171,0
651.5599976,0.002830831334
651.539978,0.004738480318
651.5200195,0
651.5,0
651.4799805,0
651.460022,0
651.4400024,0.02301253565
651.4199829,0.04248477146
651.4000244,0
651.3800049,0
651.3599854,0
651.3400269,0
651.3200073,0
651.2999878,0.02167047001
651.2800293,0.01546275429
651.2600098,0
651.2399902,0
651.2199707,0
651.2000122,0
651.1799927,0
651.1599731,0.02657693997
651.1400146,0.01219357271
651.1199951,0
651.0999756,0
651.0800171,0
651.0599976,0.008495324291
651.039978,0.002909107832
651.0200195,0.007175319362
651,0.004283102229
650.9799805,0
650.960022,0
650.9400024,0.007951028645
650.9199829,0
650.9000244,0.02682482265
650.8800049,0.03245665133
650.8599854,0
650.8400269,0
650.8200073,0.01212666091
650.7999878,0.02183228172
650.7800293,0.004360320047
650.7600098,0.02300613187
650.7399902,0
650.7199707,0
650.7000122,0
650.6799927,0.01003343239
650.6599731,0.04256952554
650.6400146,0.03302877769
650.6199951,0
650.5999756,0
650.5800171,0
650.5599976,0.008988128975
650.539978,0.02784685977
650.5200195,0.03032405488
650.5,0.01542082336
650.4799805,0
650.460022,0
650.4400024,0
650.4199829,0.02767591178
650.4000244,0.02224033326
650.3800049,0
650.3599854,0
650.3400269,0
650.3200073,0
650.2999878,0.008591289632
650.2800293,0.03862232715
650.2600098,0.03402135894
650.2399902,0.02421386912
650.2199707,0
650.2000122,0
650.1799927,0
650.1599731,0.003061214695
650.1400146,0.06024335325
650.1199951,0
650.0999756,0
650.0800171,0
650.0599976,0
650.039978,0.0141516272
650.0200195,0.01072492637
650,0.01551593002
