Wavelength (µm),Bulk Absorption,Dichroics,Field Lens,Collimator,Camera,Total
0.834,0.990932,0.9604,0.9604,0.941480149401,0.951110130465772,0.81844618947
0.840,0.990499,0.9604,0.9604,0.941480149401,0.951110130465772,0.818088559279391
0.846,0.990066,0.9604,0.9604,0.941480149401,0.951110130465772,0.817730929088782
0.853,0.989634,0.9604,0.9604,0.941480149401,0.951110130465772,0.817374124833948
0.859,0.989201,0.9604,0.9604,0.941480149401,0.951110130465772,0.817016494643339
0.866,0.988769,0.9604,0.9604,0.941480149401,0.951110130465772,0.816659690388505
0.872,0.988337,0.9604,0.9604,0.941480149401,0.951110130465772,0.816302886133671
0.878,0.987905,0.9604,0.9604,0.941480149401,0.951110130465772,0.815946081878837
0.885,0.987473,0.9604,0.9604,0.941480149401,0.951110130465772,0.815589277624003
0.891,0.987042,0.9604,0.9604,0.941480149401,0.951110130465772,0.815233299304944
0.898,0.98661,0.9604,0.9604,0.941480149401,0.951110130465772,0.814876495050111
0.904,0.986718,0.9604,0.9604,0.941480149401,0.951110130465772,0.814965696113819
0.910,0.987149,0.9604,0.9604,0.941480149401,0.951110130465772,0.815321674432878
0.917,0.98758,0.9604,0.9604,0.941480149401,0.951110130465772,0.815677652751937
0.923,0.988012,0.9604,0.9604,0.941480149401,0.951110130465772,0.816034457006771
0.930,0.988443,0.9604,0.9604,0.941480149401,0.951110130465772,0.816390435325829
0.936,0.988875,0.9604,0.9604,0.941480149401,0.951110130465772,0.816747239580663
0.942,0.989307,0.9604,0.9604,0.941480149401,0.951110130465772,0.817104043835497
0.949,0.989739,0.9604,0.9604,0.941480149401,0.951110130465772,0.817460848090331
0.955,0.990172,0.9604,0.9604,0.941480149401,0.951110130465772,0.81781847828094
0.962,0.990604,0.9604,0.9604,0.941480149401,0.951110130465772,0.818175282535774
0.968,0.991037,0.9604,0.9604,0.941480149401,0.951110130465772,0.818532912726383
0.974,0.99147,0.9604,0.9604,0.941480149401,0.951110130465772,0.818890542916992
0.981,0.991903,0.9604,0.9604,0.941480149401,0.951110130465772,0.819248173107601
0.987,0.992336,0.9604,0.9604,0.941480149401,0.951110130465772,0.81960580329821
0.994,0.992769,0.9604,0.9604,0.941480149401,0.951110130465772,0.819963433488819
1.000,0.993203,0.9604,0.9604,0.941480149401,0.951110130465772,0.820321889615203
1.010,0.000000,0.0000,0.0000,0.000000000000,0.000000000000000,0.000000000000000
